measurement_id,measured_at,workflow_repository,run_id,run_attempt,run_url,upstream_repository,upstream_ref,upstream_commit,commit_url,ghc,example,runner_os,runner_arch,runner_image,runner_image_version,configuration,benchmark,success,samples,startup_ms,setup_ms,user_time_ms,delayed_time_ms,first_build_ms,average_response_ms,total_time_ms,rules_built,rules_changed,rules_visited,rules_total,rule_edges,ghc_rebuilds,max_residency_mb,allocated_mb
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.12,2026-08-13T08:56:13.263536Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.12,cabal,Linux,X64,ubuntu24,20260720.247.2,All,eval execute single-line code lens,True,50,1.44,0.0,36.47,1.49,11.86,0.25,37.97,4,3,1177,2924,12170,199,247.0,101227.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.12,2026-08-13T08:56:13.263536Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.12,cabal,Linux,X64,ubuntu24,20260720.247.2,All,eval execute multi-line code lens,True,50,1.62,0.0,35.88,0.96,9.69,0.27,36.84,4,3,565,2924,12105,134,260.0,97807.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.14,2026-08-13T08:56:40.447681Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.14,cabal,Linux,X64,ubuntu24,20260810.271.1,All,edit-header,True,50,2.45,0.0,14.83,0.02,0.89,0.14,14.86,15,12,1178,2738,9647,51,141.0,27596.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.14,2026-08-13T08:56:40.447681Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.14,cabal,Linux,X64,ubuntu24,20260810.271.1,All,edit,True,50,1.17,0.0,14.39,0.04,0.95,0.14,14.44,13,11,1175,2738,9647,51,177.0,27394.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.14,2026-08-13T08:56:40.447681Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.14,cabal,Linux,X64,ubuntu24,20260810.271.1,All,hover,True,50,1.22,0.0,0.99,0.02,0.92,0.0,1.01,1769,1768,1770,2739,9651,2,127.0,3325.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.14,2026-08-13T08:56:40.447681Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.14,cabal,Linux,X64,ubuntu24,20260810.271.1,All,semanticTokens,True,50,1.2,0.0,28.25,0.02,1.19,0.28,28.28,11,9,1176,2742,9659,52,182.0,44347.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.14,2026-08-13T08:56:40.447681Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.14,cabal,Linux,X64,ubuntu24,20260810.271.1,All,semanticTokens after typing burst,True,50,1.24,0.0,69.7,0.02,1.6,0.69,69.72,21,18,1184,2742,9659,249,187.0,127317.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.14,2026-08-13T08:56:40.447681Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.14,cabal,Linux,X64,ubuntu24,20260810.271.1,All,hover after edit,True,50,1.23,0.0,1.2,13.43,0.9,0.0,14.64,18,15,1181,2739,9651,51,185.0,29537.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.14,2026-08-13T08:56:40.447681Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.14,cabal,Linux,X64,ubuntu24,20260810.271.1,All,hover after typing burst,True,50,1.23,0.0,51.42,12.64,1.5,0.51,64.07,18,15,1181,2739,9651,249,185.0,123177.0
soulomoon/haskell-language-server:31681411195:1:observer-benchmark-cabal-ghc-9.14,2026-08-13T08:56:40.447681Z,soulomoon/haskell-language-server,31681411195,1,https://github.com/soulomoon/haskell-language-server/actions/runs/31681411195,haskell/haskell-language-server,master,16bf0466293daabac6f216d2af7e5bccbb91fcc1,https://github.com/haskell/haskell-language-server/commit/16bf0466293daabac6f216d2af7e5bccbb91fcc1,9.14,cabal,Linux,X64,ubuntu24,20260810.271.1,All,getDefinition,True,50,1.26,0.0,1.08,0.02,1.0,0.0,1.1,1667,1666,1668,2742,9657,2,126.0,3551.0
